"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"08.12.2008 13:21";"22.7";"42";"22.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:22";"22.7";"42";"22.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:23";"22.7";"42";"17.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:24";"22.4";"43";"17.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:25";"22.2";"44";"17.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:26";"22.1";"45";"17.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:27";"21.9";"45";"17.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:28";"21.8";"45";"9.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:29";"21.6";"45";"9.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:30";"21.5";"46";"9.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:31";"21.4";"46";"9.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:32";"21.3";"47";"9.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:33";"21.2";"47";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:34";"21.1";"47";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:35";"21.1";"47";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:36";"21.0";"48";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:37";"20.9";"48";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:38";"20.9";"48";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:39";"20.8";"48";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:40";"20.8";"48";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:41";"20.8";"48";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:42";"20.7";"48";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:43";"20.7";"48";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:44";"20.6";"49";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:45";"20.6";"49";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:46";"20.6";"49";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:47";"20.6";"49";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:48";"20.6";"49";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:49";"20.5";"49";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:50";"20.5";"49";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:51";"20.5";"49";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:52";"20.5";"50";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:53";"20.4";"50";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:54";"20.4";"50";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:55";"20.4";"50";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:56";"20.4";"50";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:57";"20.4";"50";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:58";"20.4";"50";"8.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 13:59";"20.4";"50";"8.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:00";"20.3";"50";"8.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:01";"20.3";"50";"8.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:02";"20.3";"50";"8.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
